STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2015,,6.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2016,,6.5,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2017,,5.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2018,,5.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2019,,4.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2020,,6.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2021,,6.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2022,,4.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2023,,5.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2024,,5.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2021,,17.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2022,,15.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2023,,13.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2024,,12.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2015,,8.7,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2016,,7.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2017,,7.2,,b,break in time series,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2018,,6.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2019,,5.5,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2020,,5.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2021,,6.3,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2022,,5.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2023,,5.5,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2024,,5.7,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2015,,10.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2016,,8.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2017,,7.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2018,,6.2,,,,,
